1,Barcode ,Type
2,8656020726561,Type1
3,8656020726608,Type1
4,9556404007035,Type1
5,8656020816217,Type1
6,8656020816163,Type1
7,8656020816194,Type1
8,8656020726288,Type1
9,8801056179502,Type1
10,8656000427181,Type1
11,8809267230982,Type1
12,8809267231002,Type1
13,4260952510095,Type1
14,8656003001173,Type1
15,8809479110089,Type1
16,8656021373115,Type1
17,8656021373139,Type1
18,8656021373191,Type1
19,8656021373184,Type1
20,8656170005844,Type1
21,5907467912028,Type1
22,5907467912103,Type1
23,5907467912073,Type1
24,5907467912059,Type1
25,8656021373368,Type1
26,8656021373092,Type1
27,8656170005011,Type1
28,8656170005882,Type1
29,8656021373108,Type1
30,8656021373023,Type1
31,8656170005875,Type1
32,5900500037047,Type1
33,5900500037122,Type1
34,8656020844388,Type1
35,8887333190033,Type1
36,8887333190118,Type1
37,8887333190101,Type1
38,8887333110116,Type1
39,4870144475189,Type1
40,4260952510934,Type1
41,9556404024032,Type1
42,9556404025039,Type1
43,4870144474717,Type1
44,4870144473758,Type1
45,8656170005066,Type1
46,8656170005813,Type1
47,8656021373153,Type1
48,8656170005073,Type1
49,5901886023617,Type1
50,8656170005899,Type1
51,8656170005929,Type1
52,8656170005912,Type1
53,8656170005905,Type1
54,5901886010198,Type1
55,5901886010181,Type1
56,8656021270032,Type1
57,8656021270261,Type1
58,8656021270063,Type1
59,8656021270209,Type1
60,8656021270292,Type1
61,8656021270018,Type1
62,8656020844326,Type1
63,8656020844319,Type1
64,8656020844494,Type1
65,5999565270391,Type1
66,5900500024337,Type1
67,5900500028083,Type1
68,4800062210104,Type1
69,4800062210302,Type1
70,8656021318116,Type1
71,4870144475905,Type1
72,74854382742,Type1
73,4901306046012,Type1
74,4901306055076,Type1
75,4901306043141,Type1
76,4901306075562,Type1
77,4901306043165,Type1
78,4870144473499,Type1
79,5900500035678,Type1
80,4901306077542,Type1
81,4901306053492,Type1
82,4901306024737,Type1
83,5901067401548,Type1
84,5901067400268,Type1
85,5901067403306,Type1
86,5901067404921,Type1
87,5901067404907,Type1
88,5901067400886,Type1
89,5901067402996,Type1
90,4870144470146,Type1
91,4870144472461,Type1
92,8656020816484,Type1
93,8656020816491,Type1
94,8656020816521,Type1
95,8656020816552,Type1
96,8656020816569,Type1
97,4600494509667,Type1
98,8801056024642,Type1
99,8801056067779,Type1
100,8801056019952,Type1
101,8801056048334,Type1
102,8801056717018,Type1
103,8801056067212,Type1
104,8801056002107,Type1
105,8801056022242,Type1
106,8801056048358,Type1
107,8801056074197,Type1
108,8801037009774,Type1
109,8658000328918,Type1
110,8801056002749,Type1
111,8656021373375,Type1
112,8656021373351,Type1
113,8656021373382,Type1
114,8656170005943,Type1
115,8656021373221,Type1
116,8656021373306,Type1
117,8656021373313,Type1
118,8656170005936,Type1
119,8656021373214,Type1
120,8656021373344,Type1
121,8656021373276,Type1
122,8656020816651,Type1
123,8656020816675,Type1
124,8656020816644,Type1
125,4600494505713,Type1
126,8656020816682,Type1
127,8656020816378,Type1
128,8656020816323,Type1
129,8656020816354,Type1
130,8656020816514,Type1
131,8656020816279,Type1
132,8656020816293,Type1
133,4600494504419,Type1
134,8656170004069,Type1
135,8656020726523,Type1
136,8656020726509,Type1
137,8656020726769,Type1
138,8656020726738,Type1
139,8656020726493,Type1
140,8656020726745,Type1
141,8656020726752,Type1
142,8656020726516,Type1
143,8809479110157,Type1
144,648436300433,Type1
145,648436330683,Type1
146,8809296880103,Type1
147,8809296880226,Type1
148,8809296880127,Type1
149,8809296880141,Type1
150,8809296880233,Type1
151,8809296880257,Type1
152,648436300068,Type1
153,648436300488,Type1
154,648436301027,Type1
155,8809296880080,Type1
156,8809296880240,Type1
157,8656021373412,Type1
158,8656021373399,Type1
159,8656020816125,Type1
160,8656020816149,Type1
161,9556404120277,Type1
162,8656020816606,Type1
163,9556404001033,Type1
164,8656020816095,Type1
165,8656020816781,Type1
166,8656020816798,Type1
167,8656020816804,Type1
168,8656020816613,Type1
169,9006900014360,Type1
170,9006900014414,Type1
171,9006900014476,Type1
172,9006900017507,Type1
173,8654000480595,Type1
174,5901886016121,Type1
175,5901886016022,Type1
176,4710587181271,Type1
177,4710587185491,Type1
178,4710587180564,Type1
179,4710587180526,Type1
180,4710587180533,Type1
181,46872100608,Type1
182,46872060315,Type1
183,46872060414,Type1
184,4710587182285,Type1
185,4710587182308,Type1
186,4710587182322,Type1
187,4710587185606,Type1
188,4710587181257,Type1
189,4710587182797,Type1
190,4710587181677,Type1
191,4710587181592,Type1
192,4710587181615,Type1
193,4710587181639,Type1
194,8656021373443,Type1
195,8656170005974,Type1
196,8656021373436,Type1
197,8656021373429,Type1
198,8656020655229,Type1
199,4813538006491,Type1
200,4813538004343,Type1
201,4813538004756,Type1
202,8656021373481,Type1
203,8656021373078,Type1
204,8656021373498,Type1
205,8656021373122,Type1
206,8656020816507,Type1
207,8656020816699,Type1
208,8656020816583,Type1
209,4870144475295,Type1
210,8656004503171,Type1
211,8652000100253,Type1
212,5900334014467,Type1
213,5900334016218,Type1
214,5900334002587,Type1
215,8656020726103,Type1
216,4601520093624,Type1
217,4607073341175,Type1
218,4607073341205,Type1
219,4607073341151,Type1
220,8656170004106,Type1
221,8656170004113,Type1
222,8656170004168,Type1
223,8656170004175,Type1
224,8656020726646,Type1
225,8656020726349,Type1
226,4260022462200,Type1
227,8656488108176,Type1
228,8656488104178,Type1
229,8656488103171,Type1
230,8656488107179,Type1
231,8656020977857,Type1
232,8656020977925,Type1
233,8656020772063,Type1
234,8654000480854,Type1
235,8654000480328,Type1
236,8656020977932,Type1
237,8656020977819,Type1
238,8656020977918,Type1
239,8654000480397,Type1
240,8654000480588,Type1
241,8656020977840,Type1
242,8654000481219,Type1
243,8654000480557,Type1
244,8654000481028,Type1
245,8656020977901,Type1
246,8654000480861,Type1
247,8654000480359,Type1
248,8654000480571,Type1
249,8654000480335,Type1
250,8656020977864,Type1
251,8654000480373,Type1
252,8654000481226,Type1
253,8656020977826,Type1
254,8654000480939,Type1
255,8654000480922,Type1
256,8654000480885,Type1
257,8654000481004,Type1
258,8654000480991,Type1
259,8654000480984,Type1
260,8654000481011,Type1
261,8656020896042,Type1
262,8656020896028,Type1
263,8656020896035,Type1
264,8656020896059,Type1
265,8656020844289,Type1
266,8654000481288,Type1
267,8656020772056,Type1
268,8654000481271,Type1
269,8654000480656,Type1
270,8654000480649,Type1
271,4610003950033,Type1
272,4610003950057,Type1
273,4601201056450,Type1
274,8656020772094,Type1
275,4600338003337,Type1
276,4600338003320,Type1
277,8656020772117,Type1
278,8656020772124,Type1
279,8656020772131,Type1
280,8656170012538,Type1
281,4600536003009,Type1
282,4600536004006,Type1
283,8656000425187,Type1
284,8656000413184,Type1
285,8656000426184,Type1
286,8656000423183,Type1
287,8656000424180,Type1
288,8656020681013,Type1
289,8656020681037,Type1
290,8656020681402,Type1
291,8656020681259,Type1
292,8656020681419,Type1
293,8656020681068,Type1
294,8656021393229,Type1
295,8656020681051,Type1
296,8656020681242,Type1
297,8656020681044,Type1
298,8656020681020,Type1
299,8656020655236,Type1
300,8656020655083,Type1
301,8656020655243,Type1
302,8652000100383,Type1
303,8652000100123,Type1
304,8652000100154,Type1
305,8652000100130,Type1
306,8656020816576,Type1
307,8656020844241,Type1
308,8656020844234,Type1
309,74854382650,Type1
310,3700490801459,Type1
311,4600536001005,Type1
312,4600536004105,Type1
313,4600536500027,Type1
314,4600682557500,Type1
315,4607018771449,Type1
316,4607018771487,Type1
317,4710587180588,Type1
318,4710587180625,Type1
319,4710587180632,Type1
320,4710587184722,Type1
321,4710587185330,Type1
322,4710587185347,Type1
323,4710587185354,Type1
324,5901886016114,Type1
325,5901886016183,Type1
326,8654000480090,Type1
327,8654000480670,Type1
328,8654000481172,Type1
329,8654000481189,Type1
330,8656000203013,Type1
331,8656000203020,Type1
332,8656000203037,Type1
333,8656020655151,Type1
334,8656020726080,Type1
335,8656020726097,Type1
336,8656020726110,Type1
337,8656020726127,Type1
338,8656020726165,Type1
339,8656020726172,Type1
340,8656020726189,Type1
341,8656020726226,Type1
342,8656020726240,Type1
343,8656020726271,Type1
344,8656020726295,Type1
345,8656020726301,Type1
346,8656020726318,Type1
347,8656020726325,Type1
348,8656020726486,Type1
349,8656020726530,Type1
350,8656020726554,Type1
351,8656020726622,Type1
352,8656020726653,Type1
353,8656020726806,Type1
354,8656020772070,Type1
355,8656020772100,Type1
356,8656020816539,Type1
357,8656020816620,Type1
358,8656020844500,Type1
359,8656020977883,Type1
360,8658000652068,Type1
361,4901306024737,Type1
362,4607006035102,Type1
363,4601025111700,Type1
364,4901306077542,Type1
365,8656020977925,Type1
366,832423000066,Type1
367,884394006608,Type1
368,884394009265,Type1
369,3503780004031,Type1
370,4650075421338,Type1
371,4901306055076,Type1
372,5900334018496,Type1
373,5901067403771,Type1
374,8590014822504,Type1
375,8656000171077,Type1
376,8656014106171,Type1
377,8656014112172,Type1
378,8656014103538,Type1
379,8654000480588,Type1
380,8801382137900,Type1
381,8801382147275,Type1
382,8801382149026,Type1
383,46152107,Type1
384,4630065250063,Type1
385,46147110,Type1
386,5900334004215,Type1
387,5901067401548,Type1
388,5901067403016,Type1
389,5901067407281,Type1
390,8652000100130,Type1
391,8654000480939,Type1
392,8654000480984,Type1
393,8654000480991,Type1
394,8654000481288,Type1
395,8656000171084,Type1
396,8656014102180,Type1
397,8656014103668,Type1
398,8656017181175,Type1
399,8656020816781,Type1
400,8658000390922,Type1
401,8801382142980,Type1
402,8801382148500,Type1
403,884394002495,Type1
404,8801382149262,Type1
405,8801056000332,Type1
406,8809267231002,Type1
407,885915701882,Type1
408,8809059295694,Type1
409,9333022023742,Type1
410,4601025114343,Type1
411,4601025114428,Type1
412,8656020816194,Type1
413,8656020816217,Type1
414,8656020816163,Type1
415,4670004608883,Type1
416,8654000106129,Type1
417,8712857301200,Type1
418,8712857301019,Type1
419,4670004604670,Type1
420,4670004605233,Type1
421,4670004608685,Type1
422,4670004608678,Type1
423,884394006509,Type1
424,884394001511,Type1
425,884394001818,Type1
426,8809041426594,Type1
427,8809041426457,Type1
428,8809276282064,Type1
429,4670004608814,Type1
430,4670004608821,Type1
431,8801056024642,Type1
432,4670004608890,Type1
433,884394005045,Type1
434,8809041428345,Type1
435,4670004609538,Type1
436,884394002518,Type1
437,8654000105542,Type1
438,8654000106112,Type1
439,8654000105559,Type1
440,8656014120177,Type1
441,8656014119171,Type1
442,8656020783250,Type1
443,8656000171015,Type1
444,8801056179502,Type1
445,8806011414155,Type1
446,9311875000714,Type1
447,8658000207954,Type1
448,8658000207961,Type1
449,8656170005332,Type1
450,8656021373139,Type1
451,8656170005202,Type1
452,8656170005844,Type1
453,8656021373115,Type1
454,8656170005448,Type1
455,8656021373184,Type1
456,8656021373191,Type1
457,8656170005196,Type1
458,8656170005523,Type1
459,4860019001339,Type1
460,4860019001353,Type1
461,4860019001346,Type1
462,4860019001414,Type1
463,4710587181639,Type1
464,5907476912035,Type1
465,5907467912028,Type1
466,884394001917,Type1
467,884394002907,Type1
468,884394002921,Type1
469,8656021373092,Type1
470,4890008100309,Type1
471,8656170005028,Type1
472,8656021373634,Type1
473,8656021373641,Type1
474,8656170005035,Type1
475,8656170005011,Type1
476,8656021373368,Type1
477,4890008100354,Type1
478,8656170005875,Type1
479,8656170005318,Type1
480,8656021373108,Type1
481,8656170005417,Type1
482,4890008109302,Type1
483,8656021373023,Type1
484,4630065250490,Type1
485,8656017188174,Type1
486,8656017192171,Type1
487,8656017190177,Type1
488,8656020844388,Type1
489,8656020844371,Type1
490,8887333190033,Type1
491,8887333190101,Type1
492,4601501410556,Type1
493,8656000171343,Type1
494,8656000171381,Type1
495,8656000171329,Type1
496,8656000171367,Type1
497,111122223333,Type1
498,8656020783922,Type1
499,8656021435240,Type1
500,8656020783755,Type1
501,8801223010652,Type1
502,8656170005110,Type1
503,8656170005103,Type1
504,8656170005127,Type1
505,8656170005080,Type1
506,8656170005097,Type1
507,8656170005073,Type1
508,4890008123308,Type1
509,8656170005059,Type1
510,8656170005066,Type1
511,8656021373153,Type1
512,8656170005042,Type1
513,4890008120307,Type1
514,8656021373177,Type1
515,8656170005257,Type1
516,8656170005325,Type1
517,8656170005813,Type1
518,8656170005141,Type1
519,8656170005158,Type1
520,8656170005134,Type1
521,4602441019786,Type1
522,5901886017661,Type1
523,88801382147466,Type1
524,8801382147435,Type1
525,8656170012095,Type1
526,8698720863481,Type1
527,8656170005905,Type1
528,8656170005899,Type1
529,8656170005592,Type1
530,8656170005608,Type1
531,8656170005578,Type1
532,8656170005585,Type1
533,8656170005615,Type1
534,8656170005622,Type1
535,8656170005912,Type1
536,8656170005929,Type1
537,8656021270360,Type1
538,8656020896066,Type1
539,3503780001016,Type1
540,3503780002020,Type1
541,8590014821811,Type1
542,8590014818774,Type1
543,8590014821569,Type1
544,8654000552339,Type1
545,8654000552384,Type1
546,8654000552346,Type1
547,8654000552377,Type1
548,8654000552322,Type1
549,8654000552292,Type1
550,8658000682164,Type1
551,4901306000069,Type1
552,4901306048078,Type1
553,8654000593554,Type1
554,5901067404761,Type1
555,5901067404754,Type1
556,5901067400244,Type1
557,5901067400886,Type1
558,4620001311231,Type1
559,4620001317950,Type1
560,4620001311514,Type1
561,4630065251077,Type1
562,4620001316908,Type1
563,4630065250070,Type1
564,8656020772247,Type1
565,9556404049035,Type1
566,8656020816484,Type1
567,8656020816521,Type1
568,8656020816576,Type1
569,8656020816545,Type1
570,8656020816552,Type1
571,8656020816491,Type1
572,8656020816538,Type1
573,8656020816569,Type1
574,9349046000324,Type1
575,8656020816354,Type1
576,8656020816378,Type1
577,8656020816323,Type1
578,9556404002030,Type1
579,8656020816460,Type1
580,8656020816682,Type1
581,8656020816651,Type1
582,8656020816675,Type1
583,8656020816644,Type1
584,9349046000331,Type1
585,8656021373382,Type1
586,8656021373375,Type1
587,8656170005356,Type1
588,8656021373351,Type1
589,8656170005691,Type1
590,8656170005646,Type1
591,8656021373306,Type1
592,8656021373221,Type1
593,8656170005493,Type1
594,8656014103590,Type1
595,8656014121174,Type1
596,5060166692483,Type1
597,8656020816514,Type1
598,8656020816279,Type1
599,8656020816293,Type1
600,9556404011032,Type1
601,9349046000317,Type1
602,4650075421413,Type1
603,4650075424414,Type1
604,4840022006699,Type1
605,4840022006194,Type1
606,4840022006347,Type1
607,4840022004190,Type1
608,2000000259192,Type1
609,8801382148937,Type1
610,8801382146612,Type1
611,8801382149040,Type1
612,8809041427867,Type1
613,8809041427928,Type1
614,8809041427829,Type1
615,8809125068283,Type1
616,4311501733813,Type1
617,658000189229,Type1
618,8801128503211,Type1
619,8656021373412,Type1
620,8656021373405,Type1
621,8656021373399,Type1
622,46494139,Type1
623,8656020816620,Type1
624,8656020816606,Type1
625,8656020816613,Type1
626,9556404001033,Type1
627,8656020816095,Type1
628,8656020816125,Type1
629,8656020816149,Type1
630,8656020816798,Type1
631,8656020816804,Type1
632,9556404120277,Type1
633,9006900013981,Type1
634,9006900014476,Type1
635,9006900014414,Type1
636,8656021373474,Type1
637,8656021373467,Type1
638,884394003188,Type1
639,8656170005349,Type1
640,8656021373344,Type1
641,8656170005943,Type1
642,8656170005936,Type1
643,8656170005394,Type1
644,8656170005684,Type1
645,8656021373566,Type1
646,8656021373559,Type1
647,8656170005639,Type1
648,8656021373313,Type1
649,8656021373214,Type1
650,8936011460064,Type1
651,4823063112604,Type1
652,4823063113694,Type1
653,4823063113489,Type1
654,4823063113472,Type1
655,4823063113458,Type1
656,4823063113434,Type1
657,8654000210390,Type1
658,8698980920016,Type1
659,4890008402366,Type1
660,4890008411306,Type1
661,8656021373429,Type1
662,8656021373436,Type1
663,4890008402304,Type1
664,8656021373443,Type1
665,8656170005974,Type1
666,8656020655311,Type1
667,8656020655335,Type1
668,5000159438056,Type1
669,8809041427904,Type1
670,4601501189148,Type1
671,8656014103682,Type1
672,8656021373160,Type1
673,4890008110308,Type1
674,8656170005189,Type1
675,8656021373498,Type1
676,8656021373481,Type1
677,8656021373122,Type1
678,8656021373078,Type1
679,8656170005172,Type1
680,8656170005165,Type1
681,8656020816583,Type1
682,8656020816774,Type1
683,8656020816699,Type1
684,8656020816507,Type1
685,8656014103743,Type1
686,8656004503171,Type1
687,8656014110178,Type1
688,8656014107178,Type1
689,8656014108175,Type1
690,8656014122171,Type1
691,8656014125172,Type1
692,8000500191712,Type1
693,6901035105514,Type1
694,5900334000392,Type1
695,5942289010095,Type1
696,5900334015938,Type1
697,5900334002587,Type1
698,5900334015921,Type1
699,5900334016195,Type1
700,5900334002594,Type1
701,5900334000965,Type1
702,8654000481844,Type1
703,8809713910505,Type1
704,8656170004113,Type1
705,8656170004175,Type1
706,8656017182172,Type1
707,8801382127963,Type1
708,8801382128007,Type1
709,8654000105566,Type1
710,8656020726561,Type1
711,8656020726608,Type1
712,4311596461868,Type1
713,8712857973278,Type1
714,8656170014051,Type1
715,8656170014068,Type1
716,8801382123446,Type1
717,8806011416098,Type1
718,8656170004106,Type1
719,8656170004168,Type1
720,8656020726646,Type1
721,8656020726349,Type1
722,4260022462200,Type1
723,8656020726400,Type1
724,8656488114177,Type1
725,8656488104178,Type1
726,8656488107179,Type1
727,8656488108176,Type1
728,8656488103171,Type1
729,8656020783199,Type1
730,8656020977857,Type1
731,8656020977864,Type1
732,8654000480861,Type1
733,8656020977932,Type1
734,8656020977918,Type1
735,8654000480571,Type1
736,8656020977826,Type1
737,8654000480922,Type1
738,8656020772070,Type1
739,8654000480328,Type1
740,8654000480335,Type1
741,8654000481028,Type1
742,8654000480557,Type1
743,8656020977840,Type1
744,8656020977833,Type1
745,8654000480397,Type1
746,8654000480090,Type1
747,8654000481219,Type1
748,8654000480953,Type1
749,8654000481011,Type1
750,8654000554432,Type1
751,8656021270292,Type1
752,8656020783939,Type1
753,8656020783908,Type1
754,4607018771791,Type1
755,4607018771821,Type1
756,8656020844289,Type1
757,8656020844272,Type1
758,4601512005307,Type1
759,4840022002127,Type1
760,4840022004169,Type1
761,4840022000727,Type1
762,8656003498171,Type1
763,8656003494173,Type1
764,8654000550229,Type1
765,8654000552544,Type1
766,8656003485171,Type1
767,8656003436173,Type1
768,8654000552520,Type1
769,8654000552513,Type1
770,8654000553060,Type1
771,8656003443171,Type1
772,8656021062026,Type1
773,8654000550274,Type1
774,4901306047569,Type1
775,4901306074480,Type1
776,4901306026335,Type1
777,4870144476421,Type1
778,4870144472461,Type1
